cost_center_id,department,month,planned_cost,actual_cost,variance,supplier,currency,region
CC1001,Production,2024-01,120000,132500,12500,Bosch,EUR,EU
CC1001,Production,2024-02,118000,115200,-2800,Siemens,EUR,EU
CC1001,Production,2024-03,125000,130400,5400,Continental,EUR,EU
CC1001,Production,2024-04,130000,128500,-1500,Magna,EUR,EU
CC1001,Production,2024-05,127000,139200,12200,ZF,EUR,EU
CC1001,Production,2024-06,129500,126000,-3500,Bosch,EUR,EU
CC1001,Production,2024-07,131000,142300,11300,Siemens,EUR,EU
CC1001,Production,2024-08,128000,124500,-3500,Continental,EUR,EU
CC1001,Production,2024-09,132000,136800,4800,Magna,EUR,EU
CC1001,Production,2024-10,135000,138900,3900,ZF,EUR,EU
CC1001,Production,2024-11,140000,143500,3500,Bosch,EUR,EU
CC1001,Production,2024-12,145000,150200,5200,Siemens,EUR,EU
CC1001,Production,2025-01,150000,147800,-2200,Continental,EUR,EU
CC1001,Production,2025-02,148000,152300,4300,Magna,EUR,EU
CC1001,Production,2025-03,155000,160400,5400,ZF,EUR,EU
CC1001,Production,2025-04,158000,162900,4900,Bosch,EUR,EU
CC1001,Production,2025-05,160000,158200,-1800,Siemens,EUR,EU
CC1001,Production,2025-06,162500,170300,7800,Continental,EUR,EU
CC1001,Production,2025-07,165000,168500,3500,Magna,EUR,EU
CC1001,Production,2025-08,167000,172800,5800,ZF,EUR,EU
CC1001,Production,2025-09,170000,169200,-800,Bosch,EUR,EU
CC1001,Production,2025-10,172000,178900,6900,Siemens,EUR,EU
CC1001,Production,2025-11,175000,181500,6500,Continental,EUR,EU
CC1001,Production,2025-12,180000,188400,8400,Magna,EUR,EU
